"Run","Wafer",,,,,,,,,
1,1,90.0,92.2,94.9,92.7,91.6,88.2,92.0,98.2,96.0
1,2,91.8,94.5,93.9,77.3,92.0,89.9,87.9,92.8,93.3
1,3,90.3,91.1,93.3,93.5,87.2,88.1,90.1,91.9,94.5
1,4,92.6,90.3,92.8,91.6,92.7,91.7,89.3,95.5,93.6
1,5,91.1,89.8,91.5,91.5,90.6,93.1,88.9,92.5,92.4
1,6,76.1,90.2,96.8,84.6,93.3,95.7,90.9,100.3,95.2
1,7,92.4,91.7,91.6,91.1,88.0,92.4,88.7,92.9,92.6
1,8,91.3,90.1,95.4,89.6,90.7,95.8,91.7,97.9,95.7
1,9,96.7,93.7,93.9,87.9,90.4,92.0,90.5,95.2,94.3
1,10,92.0,94.6,93.7,94.0,89.3,90.1,91.3,92.7,94.5
1,11,94.1,91.5,95.3,92.8,93.4,92.2,89.4,94.5,95.4
1,12,91.7,97.4,95.1,96.7,77.5,91.4,90.5,95.2,93.1
2,1,93.0,89.9,93.6,89.0,93.6,90.9,89.8,92.4,93.0
2,2,91.4,90.6,92.2,91.9,92.4,87.6,88.9,90.9,92.8
2,3,91.9,91.8,92.8,96.4,93.8,86.5,92.7,90.9,92.8
2,4,90.6,91.3,94.9,88.3,87.9,92.2,90.7,91.3,93.6
2,5,93.1,91.8,94.6,88.9,90.0,97.9,92.1,91.6,98.4
2,6,90.8,91.5,91.5,91.5,94.0,91.0,92.1,91.8,94.0
2,7,88.0,91.8,90.5,90.4,90.3,91.5,89.4,93.2,93.9
2,8,88.3,96.0,92.8,93.7,89.6,89.6,90.2,95.3,93.0
2,9,94.2,92.2,95.8,92.5,91.0,91.4,92.8,93.6,91.0
2,10,101.5,103.1,103.2,103.5,~96.1,102.5,102.0,106.7,105.4
2,11,92.8,90.8,92.2,91.7,89.0,88.5,87.5,93.8,91.4
2,12,92.1,93.4,94.0,94.7,90.8,92.1,91.2,92.3,91.1
